iteration,unique_solution_count,repeat_rate,average_fitness,best_fitness,worst_fitness,population_diversity,exploration_ratio,exploitation_ratio,iteration_time
0,8,0.0,0.6764749999999999,0.7302,0.6332,0.49457303249423956,0.875,0.125,3212.205508400104
1,8,0.0,0.684175,0.7412,0.6184,0.5253952756757168,0.875,0.125,2970.1912479000166
2,8,0.0,0.707025,0.7614,0.6554,0.5199627031768215,0.875,0.125,3004.3218825999647
3,8,0.0,0.743,0.7868,0.7048,0.3592529292283496,0.875,0.125,5945.776954900008
4,8,0.0,0.7517,0.7858,0.711,0.3069354924967147,1.0,0.0,3665.1046062000096
5,8,0.0,0.748175,0.8064,0.68,0.334235299268954,0.875,0.125,5663.546503399964
6,8,0.0,0.7680750000000001,0.7878,0.7376,0.25603695442978003,1.0,0.0,5693.797005300061
7,8,0.0,0.736725,0.7556,0.7232,0.2475377385111976,1.0,0.0,2564.3455842999974
8,8,0.0,0.771925,0.8006,0.7136,0.15755873476229174,1.0,0.0,6045.316761900089
9,8,0.0,0.7742249999999999,0.8132,0.7262,0.13024148089834445,0.875,0.125,5398.033954199986
10,8,0.0,0.75005,0.7758,0.7278,0.1035806826897568,1.0,0.0,4546.662012399989
11,8,0.0,0.7677,0.7948,0.7334,0.10531846414428912,1.0,0.0,3697.550084199989
12,8,0.0,0.785225,0.798,0.7516,0.06164908932578385,1.0,0.0,5396.969584700069
13,8,0.0,0.793675,0.8036,0.783,0.045763261309922684,1.0,0.0,5843.262306699995
14,8,0.0,0.7923,0.8168,0.782,0.029595734540031195,0.875,0.125,5925.153382700053
15,4,0.5,0.7934249999999999,0.7962,0.7908,0.002156117985701569,1.0,0.0,2961.8571940999245
