iteration,unique_solution_count,repeat_rate,average_fitness,best_fitness,worst_fitness,population_diversity,exploration_ratio,exploitation_ratio,iteration_time
0,8,0.0,0.67475,0.7338,0.591,0.5057282398399663,0.875,0.125,1489.280406300095
1,8,0.0,0.726225,0.7436,0.7156,0.30563043896900877,0.875,0.125,1344.5902032000013
2,8,0.0,0.7133750000000001,0.7786,0.6686,0.3681795813573253,0.875,0.125,2658.206787999952
3,8,0.0,0.7508250000000001,0.7748,0.7076,0.30650124904881526,1.0,0.0,4308.034694100032
4,8,0.0,0.760325,0.7924,0.692,0.28180031963847085,0.875,0.125,3910.1868373999605
5,8,0.0,0.76855,0.7962,0.697,0.2961529675430168,0.875,0.125,4513.090878800023
6,8,0.0,0.7726,0.79,0.7498,0.22108661174134767,1.0,0.0,6571.547888099914
7,8,0.0,0.7628999999999999,0.7834,0.7138,0.13147422431008055,1.0,0.0,7746.625724700047
8,8,0.0,0.77675,0.7954,0.757,0.1488845331144268,1.0,0.0,6634.688975299941
9,8,0.0,0.7825500000000001,0.807,0.7726,0.10710943124649694,0.875,0.125,6125.688563400065
10,8,0.0,0.7744,0.7912,0.763,0.10872572597875607,1.0,0.0,6126.014959000051
11,8,0.0,0.772875,0.798,0.7442,0.15483184717509152,1.0,0.0,5566.130645000027
12,8,0.0,0.781775,0.7978,0.734,0.16326304425553895,1.0,0.0,5546.850114700035
13,8,0.0,0.776375,0.7864,0.7684,0.13066900768572662,1.0,0.0,6102.831968400045
14,8,0.0,0.778925,0.7952,0.7624,0.06861645460222865,1.0,0.0,6127.163137100055
15,8,0.0,0.777225,0.7954,0.761,0.08889477193059384,1.0,0.0,6637.457177300006
