iteration,unique_solution_count,repeat_rate,average_fitness,best_fitness,worst_fitness,population_diversity,exploration_ratio,exploitation_ratio,iteration_time
0,8,0.0,0.6764749999999999,0.7302,0.6332,0.49457303249423956,0.875,0.125,3195.1059661000036
1,8,0.0,0.6807000000000001,0.7312,0.6448,0.49109928211363707,0.875,0.125,3403.919415000011
2,8,0.0,0.7024250000000001,0.7456,0.6402,0.38998144965190384,0.875,0.125,3440.069165599998
3,8,0.0,0.71805,0.7458,0.6858,0.4113644209833175,0.875,0.125,4871.972728500026
4,8,0.0,0.724075,0.7726,0.6772,0.3943204608963502,0.875,0.125,7679.468322400004
5,8,0.0,0.7486499999999999,0.7742,0.712,0.28942457942530436,0.875,0.125,11271.30637840007
6,8,0.0,0.7519,0.7794,0.7248,0.23224871038431327,0.875,0.125,9881.173693799996
7,8,0.0,0.7349249999999999,0.7796,0.6778,0.19480396034786016,0.875,0.125,11374.486097400077
8,8,0.0,0.7592249999999999,0.7782,0.743,0.11020146480079125,1.0,0.0,15413.820252999896
9,8,0.0,0.756425,0.7774,0.7198,0.1394230484868908,1.0,0.0,11436.949990599998
10,8,0.0,0.7541,0.7734,0.7332,0.09755808592161817,1.0,0.0,10881.3598336
11,8,0.0,0.751975,0.7874,0.7126,0.13482201027720542,0.875,0.125,12611.661472499953
12,8,0.0,0.75365,0.7744,0.7346,0.1412916480514898,1.0,0.0,11308.265771100065
13,8,0.0,0.76415,0.7786,0.7422,0.09523333936413768,1.0,0.0,13736.104199100053
14,8,0.0,0.753275,0.7748,0.725,0.12003012035452586,1.0,0.0,13396.130904800026
15,8,0.0,0.749525,0.789,0.7128,0.04847170744486022,0.875,0.125,10046.874113099999
