iteration,unique_solution_count,repeat_rate,average_fitness,best_fitness,worst_fitness,population_diversity,exploration_ratio,exploitation_ratio,iteration_time
0,8,0.0,0.67475,0.7338,0.591,0.5057282398399663,0.875,0.125,1483.7984633999877
1,8,0.0,0.67065,0.7156,0.5756,0.5768901254903649,1.0,0.0,1214.9558548999776
2,8,0.0,0.6557999999999999,0.721,0.5668,0.495225169055889,1.0,0.0,1104.8065613999788
3,8,0.0,0.6725,0.7304,0.4624,0.5930816594871954,1.0,0.0,1242.3483363999985
4,8,0.0,0.700925,0.7318,0.6374,0.5758542442564263,1.0,0.0,2079.139856999973
5,8,0.0,0.6778500000000001,0.729,0.513,0.47780483149589464,1.0,0.0,2138.3217579999764
6,8,0.0,0.7277750000000001,0.7586,0.674,0.32627611093072156,0.875,0.125,2219.1953238999995
7,8,0.0,0.70565,0.7758,0.576,0.5126770471303972,0.875,0.125,5139.861865300016
8,8,0.0,0.7141500000000001,0.7758,0.6372,0.5287053568061211,0.875,0.125,4532.4781173999945
9,8,0.0,0.74195,0.7758,0.6248,0.3174141767690593,0.875,0.125,4841.33070240001
10,8,0.0,0.7277750000000001,0.7736,0.6416,0.23939157991876409,1.0,0.0,7583.105251400004
11,7,0.125,0.722325,0.7648,0.627,0.2721561331924084,1.0,0.0,6102.2558938
12,8,0.0,0.737725,0.7712,0.6688,0.26373278617677226,1.0,0.0,7653.675894600019
13,8,0.0,0.7634,0.784,0.7468,0.11770541044716869,0.875,0.125,6169.920104700024
14,8,0.0,0.772625,0.784,0.7606,0.05049724453733864,0.875,0.125,5348.298405699956
15,4,0.5,0.77945,0.784,0.765,0.020295443224088813,0.375,0.625,2292.4160987000214
