algorithm,run,seed,best_validation_accuracy,best_test_accuracy,precision,recall,f1,runtime_seconds,total_search_time_seconds,final_training_time_seconds,fitness_evaluations,average_fitness_evaluation_duration,hp_base_filters,hp_batch_size,hp_dilation,hp_dropout,hp_final_neurons,hp_learning_rate,hp_se_ratio,hp_shared_conv_kernel_size
GWO,run_01,42,0.8046,0.8793,0.8791721991645319,0.8793,0.8788050887124388,116458.61865039996,105525.66582679993,10932.952823600033,128,824.4192642718745,256,32,1,0.17002009789608422,256,0.0012351628680148583,8,5
GWO,run_02,43,0.7968,0.8499,0.8486679203586037,0.8499000000000001,0.848770511446381,77046.58124990005,70660.88981610001,6385.691433800035,128,552.0382016882813,256,32,2,0.10142845054587846,256,0.0013629717204488613,4,3
GWO,run_03,44,0.8168,0.8722,0.872122381068972,0.8722000000000001,0.8719263021907931,78597.95042939996,72534.09473739995,6063.855692000012,128,566.6726151359371,256,32,1,0.10853740995306956,256,0.0014598678014005684,4,3
PSO,run_01,42,0.807,0.8545,0.8542129745715632,0.8545,0.8542055516468127,87792.93819160003,81408.38918509998,6384.549006500049,128,636.0030405085936,256,32,2,0.40028180921257395,512,0.0007172540309276493,4,3
PSO,run_02,43,0.7976,0.85,0.8504520207266442,0.85,0.850067631939839,87745.5842334,81385.0317012,6360.552532200003,128,635.820560165625,256,32,2,0.18628512193787972,128,0.001746285569132917,8,3
PSO,run_03,44,0.8094,0.8707,0.8711544828492664,0.8706999999999999,0.8707725742288378,112281.93122379998,106245.8224362,6036.10878759998,128,830.0454877828125,256,32,1,0.1,512,0.0030504420837331784,16,3
WOA,run_01,42,0.784,0.844,0.843526378767554,0.844,0.8435446200472925,66625.09586049998,61145.90866769999,5479.187192799989,128,477.70241146640615,256,32,2,0.6435081283234254,512,0.0016016678017464448,4,3
WOA,run_02,43,0.7692,0.8332,0.8339947481033472,0.8332,0.8331016475942867,30604.691009500006,28330.39763620001,2274.2933732999954,128,221.33123153281258,128,64,2,0.2886447602040261,128,0.0019160071617509052,8,3
WOA,run_03,44,0.8154,0.8768,0.8765493488153309,0.8768,0.8765923414870995,142624.49068240006,131715.14896010002,10909.341722300043,128,1029.0246012507814,256,32,1,0.10077856418522159,128,0.0014188144847256917,4,5
RAO,run_01,42,0.7794,0.83,0.829909672603345,0.8300000000000001,0.8294394715956457,41660.052855799964,39296.44156299997,2363.611292799993,128,307.0034497109373,128,32,2,0.17524399410268554,256,0.0035083200751888934,4,3
RAO,run_02,43,0.791,0.8455,0.8452047155885996,0.8455,0.844678334192978,83471.05650140002,77120.81612680008,6350.240374599933,128,602.5063759906257,256,32,2,0.3414259528734587,512,0.0014515384854600847,8,3
RAO,run_03,44,0.789,0.8681,0.8687022081160147,0.8680999999999999,0.8681581043891727,171395.5741358,153948.66896779998,17446.905168000027,128,1202.7239763109374,256,64,1,0.2799584735269006,128,0.0001,8,7
