algorithm,run,iteration,diversity
GWO,run_01,0,0.5057282398399663
GWO,run_01,1,0.4838564007470314
GWO,run_01,2,0.4795039278711901
GWO,run_01,3,0.4410792984892354
GWO,run_01,4,0.3700949923177057
GWO,run_01,5,0.3469394697753678
GWO,run_01,6,0.2113623752484765
GWO,run_01,7,0.21299619432710307
GWO,run_01,8,0.20315596684873374
GWO,run_01,9,0.12559644530690378
GWO,run_01,10,0.11561282728290405
GWO,run_01,11,0.12160762143836318
GWO,run_01,12,0.0754903057799852
GWO,run_01,13,0.06577910439721674
GWO,run_01,14,0.029482839308556375
GWO,run_01,15,0.004435989198993021
GWO,run_02,0,0.5977776078043604
GWO,run_02,1,0.429529816362108
GWO,run_02,2,0.3515373846217222
GWO,run_02,3,0.41753831380162704
GWO,run_02,4,0.42228972996335545
GWO,run_02,5,0.31149209109752674
GWO,run_02,6,0.269009445523769
GWO,run_02,7,0.2168805132770029
GWO,run_02,8,0.21058686280985134
GWO,run_02,9,0.15922874562897063
GWO,run_02,10,0.1191894343192686
GWO,run_02,11,0.12229716651570952
GWO,run_02,12,0.101985166087219
GWO,run_02,13,0.04409705585155496
GWO,run_02,14,0.026535921928404725
GWO,run_02,15,0.003479690664011304
GWO,run_03,0,0.49457303249423956
GWO,run_03,1,0.5253952756757168
GWO,run_03,2,0.5199627031768215
GWO,run_03,3,0.3592529292283496
GWO,run_03,4,0.3069354924967147
GWO,run_03,5,0.334235299268954
GWO,run_03,6,0.25603695442978003
GWO,run_03,7,0.2475377385111976
GWO,run_03,8,0.15755873476229174
GWO,run_03,9,0.13024148089834445
GWO,run_03,10,0.1035806826897568
GWO,run_03,11,0.10531846414428912
GWO,run_03,12,0.06164908932578385
GWO,run_03,13,0.045763261309922684
GWO,run_03,14,0.029595734540031195
GWO,run_03,15,0.002156117985701569
PSO,run_01,0,0.5057282398399663
PSO,run_01,1,0.30563043896900877
PSO,run_01,2,0.3681795813573253
PSO,run_01,3,0.30650124904881526
PSO,run_01,4,0.28180031963847085
PSO,run_01,5,0.2961529675430168
