algorithm,run,seed,iteration,mean_population_fitness,std_population_fitness,best_fitness,worst_fitness,population_diversity,exploration_ratio,exploitation_ratio,unique_solution_count,repeat_rate,iteration_time
GWO,run_01,42,0,0.67475,0.044230278090918694,0.7338,0.591,0.5057282398399663,0.875,0.125,8,0.0,1493.0413067999762
GWO,run_01,42,1,0.6396999999999999,0.06963670009413142,0.742,0.5126,0.4838564007470314,0.875,0.125,8,0.0,1469.860609299969
GWO,run_01,42,2,0.6662250000000001,0.05784422507908635,0.7622,0.601,0.4795039278711901,0.875,0.125,8,0.0,2849.7772130999947
GWO,run_01,42,3,0.664175,0.05715482809877045,0.7506,0.5766,0.4410792984892354,1.0,0.0,8,0.0,2777.2032965999097
GWO,run_01,42,4,0.753125,0.02415531773750865,0.793,0.6994,0.3700949923177057,0.875,0.125,8,0.0,8405.557538800058
GWO,run_01,42,5,0.717675,0.03563943567173867,0.7856,0.674,0.3469394697753678,1.0,0.0,8,0.0,3635.109519199934
GWO,run_01,42,6,0.76475,0.016990806337546197,0.7958,0.7422,0.2113623752484765,0.875,0.125,8,0.0,8038.422407399979
GWO,run_01,42,7,0.7655000000000001,0.025794766911139175,0.8046,0.7232,0.21299619432710307,0.875,0.125,8,0.0,7958.595396299963
GWO,run_01,42,8,0.763075,0.01783982553165811,0.791,0.74,0.20315596684873374,1.0,0.0,8,0.0,5953.4178201000905
GWO,run_01,42,9,0.7764,0.011928537211242618,0.7964,0.7588,0.12559644530690378,1.0,0.0,8,0.0,9836.896446300088
GWO,run_01,42,10,0.7575750000000001,0.023939807330051764,0.7952,0.7174,0.11561282728290405,1.0,0.0,8,0.0,9648.446998699917
GWO,run_01,42,11,0.771925,0.012646318634290362,0.7876,0.7502,0.12160762143836318,1.0,0.0,8,0.0,6265.563720199978
GWO,run_01,42,12,0.781775,0.008407400014273142,0.7958,0.7656,0.0754903057799852,1.0,0.0,8,0.0,10854.25538019999
GWO,run_01,42,13,0.7754,0.013036487256926221,0.7918,0.7534,0.06577910439721674,1.0,0.0,8,0.0,10587.516906399978
GWO,run_01,42,14,0.7860750000000001,0.006537535850762098,0.7978,0.777,0.029482839308556375,1.0,0.0,8,0.0,10505.16698520002
GWO,run_01,42,15,0.78405,0.008350299395830065,0.7948,0.7744,0.004435989198993021,1.0,0.0,4,0.5,5246.832011500024
GWO,run_02,43,0,0.63925,0.06090646517406835,0.7264,0.5274,0.5977776078043604,0.875,0.125,8,0.0,2193.3069594999542
GWO,run_02,43,1,0.672075,0.026150896256151534,0.7048,0.6292,0.429529816362108,1.0,0.0,8,0.0,1101.2539274999872
GWO,run_02,43,2,0.7449250000000001,0.015433061102710643,0.769,0.7192,0.3515373846217222,0.875,0.125,8,0.0,8187.620073499973
GWO,run_02,43,3,0.728075,0.031099025306269658,0.7638,0.6822,0.41753831380162704,1.0,0.0,8,0.0,3272.143789599999
GWO,run_02,43,4,0.665675,0.051399215704133076,0.7566,0.5996,0.42228972996335545,1.0,0.0,8,0.0,2248.7211034999928
GWO,run_02,43,5,0.7532000000000001,0.015721323099535868,0.7752,0.7248,0.31149209109752674,0.875,0.125,8,0.0,4707.6213930000085
GWO,run_02,43,6,0.751125,0.026528086531071193,0.7848,0.7088,0.269009445523769,0.875,0.125,8,0.0,5387.15975979995
GWO,run_02,43,7,0.751825,0.039220076172797026,0.7838,0.6818,0.2168805132770029,1.0,0.0,8,0.0,5031.299092300003
GWO,run_02,43,8,0.71835,0.03351294526000364,0.795,0.6722,0.21058686280985134,0.875,0.125,8,0.0,2707.1190146999434
GWO,run_02,43,9,0.762275,0.006217666362872792,0.7734,0.7518,0.15922874562897063,1.0,0.0,8,0.0,4687.514499100042
GWO,run_02,43,10,0.7658500000000001,0.012507497751349001,0.7858,0.7432,0.1191894343192686,1.0,0.0,8,0.0,5169.646789899911
GWO,run_02,43,11,0.7739,0.012869731931940138,0.7918,0.7528,0.12229716651570952,1.0,0.0,8,0.0,5665.065517700044
GWO,run_02,43,12,0.777625,0.011073137540914036,0.7904,0.7546,0.101985166087219,1.0,0.0,8,0.0,5697.401220200001
GWO,run_02,43,13,0.782625,0.006781915289945747,0.7968,0.7734,0.04409705585155496,0.875,0.125,8,0.0,6176.287693499937
GWO,run_02,43,14,0.77835,0.011621424181226669,0.7956,0.7532,0.026535921928404725,1.0,0.0,8,0.0,6131.160386999953
GWO,run_02,43,15,0.7733000000000001,0.0036428011200173908,0.7792,0.768,0.003479690664011304,1.0,0.0,3,0.625,2297.5680721000535
GWO,run_03,44,0,0.6764749999999999,0.031090985429863743,0.7302,0.6332,0.49457303249423956,0.875,0.125,8,0.0,3212.205508400104
GWO,run_03,44,1,0.684175,0.04157203837917982,0.7412,0.6184,0.5253952756757168,0.875,0.125,8,0.0,2970.1912479000166
GWO,run_03,44,2,0.707025,0.03878549181072737,0.7614,0.6554,0.5199627031768215,0.875,0.125,8,0.0,3004.3218825999647
GWO,run_03,44,3,0.743,0.02560390595202225,0.7868,0.7048,0.3592529292283496,0.875,0.125,8,0.0,5945.776954900008
GWO,run_03,44,4,0.7517,0.022070342090688155,0.7858,0.711,0.3069354924967147,1.0,0.0,8,0.0,3665.1046062000096
GWO,run_03,44,5,0.748175,0.04260568477327879,0.8064,0.68,0.334235299268954,0.875,0.125,8,0.0,5663.546503399964
GWO,run_03,44,6,0.7680750000000001,0.01755446880426747,0.7878,0.7376,0.25603695442978003,1.0,0.0,8,0.0,5693.797005300061
GWO,run_03,44,7,0.736725,0.011633975030057454,0.7556,0.7232,0.2475377385111976,1.0,0.0,8,0.0,2564.3455842999974
GWO,run_03,44,8,0.771925,0.024604661651808992,0.8006,0.7136,0.15755873476229174,1.0,0.0,8,0.0,6045.316761900089
GWO,run_03,44,9,0.7742249999999999,0.02499388675256413,0.8132,0.7262,0.13024148089834445,0.875,0.125,8,0.0,5398.033954199986
GWO,run_03,44,10,0.75005,0.01807892419365712,0.7758,0.7278,0.1035806826897568,1.0,0.0,8,0.0,4546.662012399989
GWO,run_03,44,11,0.7677,0.020775225630543685,0.7948,0.7334,0.10531846414428912,1.0,0.0,8,0.0,3697.550084199989
GWO,run_03,44,12,0.785225,0.014616920845376415,0.798,0.7516,0.06164908932578385,1.0,0.0,8,0.0,5396.969584700069
GWO,run_03,44,13,0.793675,0.008155941086104021,0.8036,0.783,0.045763261309922684,1.0,0.0,8,0.0,5843.262306699995
GWO,run_03,44,14,0.7923,0.01075034883154959,0.8168,0.782,0.029595734540031195,0.875,0.125,8,0.0,5925.153382700053
GWO,run_03,44,15,0.7934249999999999,0.002350398902314275,0.7962,0.7908,0.002156117985701569,1.0,0.0,4,0.5,2961.8571940999245
PSO,run_01,42,0,0.67475,0.044230278090918694,0.7338,0.591,0.5057282398399663,0.875,0.125,8,0.0,1489.280406300095
PSO,run_01,42,1,0.726225,0.010150584958513497,0.7436,0.7156,0.30563043896900877,0.875,0.125,8,0.0,1344.5902032000013
PSO,run_01,42,2,0.7133750000000001,0.030833332207207187,0.7786,0.6686,0.3681795813573253,0.875,0.125,8,0.0,2658.206787999952
PSO,run_01,42,3,0.7508250000000001,0.020432189677075736,0.7748,0.7076,0.30650124904881526,1.0,0.0,8,0.0,4308.034694100032
PSO,run_01,42,4,0.760325,0.02833053785228937,0.7924,0.692,0.28180031963847085,0.875,0.125,8,0.0,3910.1868373999605
PSO,run_01,42,5,0.76855,0.028614288388845197,0.7962,0.697,0.2961529675430168,0.875,0.125,8,0.0,4513.090878800023
PSO,run_01,42,6,0.7726,0.016063000964950478,0.79,0.7498,0.22108661174134767,1.0,0.0,8,0.0,6571.547888099914
PSO,run_01,42,7,0.7628999999999999,0.022578751072634656,0.7834,0.7138,0.13147422431008055,1.0,0.0,8,0.0,7746.625724700047
PSO,run_01,42,8,0.77675,0.010625323524486212,0.7954,0.757,0.1488845331144268,1.0,0.0,8,0.0,6634.688975299941
PSO,run_01,42,9,0.7825500000000001,0.010782277124986195,0.807,0.7726,0.10710943124649694,0.875,0.125,8,0.0,6125.688563400065
PSO,run_01,42,10,0.7744,0.009114823092084662,0.7912,0.763,0.10872572597875607,1.0,0.0,8,0.0,6126.014959000051
PSO,run_01,42,11,0.772875,0.016434091852000846,0.798,0.7442,0.15483184717509152,1.0,0.0,8,0.0,5566.130645000027
PSO,run_01,42,12,0.781775,0.019354699041834778,0.7978,0.734,0.16326304425553895,1.0,0.0,8,0.0,5546.850114700035
PSO,run_01,42,13,0.776375,0.006966661682613858,0.7864,0.7684,0.13066900768572662,1.0,0.0,8,0.0,6102.831968400045
PSO,run_01,42,14,0.778925,0.011514311746691614,0.7952,0.7624,0.06861645460222865,1.0,0.0,8,0.0,6127.163137100055
PSO,run_01,42,15,0.777225,0.011019726630003127,0.7954,0.761,0.08889477193059384,1.0,0.0,8,0.0,6637.457177300006
PSO,run_02,43,0,0.63925,0.06090646517406835,0.7264,0.5274,0.5977776078043604,0.875,0.125,8,0.0,2269.5748344
PSO,run_02,43,1,0.710475,0.030816706102372478,0.7616,0.6728,0.32546423804550506,0.875,0.125,8,0.0,1302.1164848000003
PSO,run_02,43,2,0.7181249999999999,0.03105284809804086,0.7596,0.6508,0.3506151650316792,1.0,0.0,8,0.0,2272.4555487000002
PSO,run_02,43,3,0.7419,0.0239974998697781,0.771,0.6926,0.25135198893118593,0.875,0.125,8,0.0,3590.9314546999994
PSO,run_02,43,4,0.74755,0.02998728897383023,0.7976,0.6978,0.25915848037189687,0.875,0.125,8,0.0,5097.849330700001
